Word Id,Word,Pinyin,Pinyin Simplified,Type,Word Category,Word Rarity,Meaning,Sentence,Sentence Pinyin,Sentence Meaning,Added Date,Num_Quiz_Attempt,Num_Correct,Num_Wrong,Last_Quiz
D000015,当,dāng,dang1,Verb,Action,Common,To act as; to treat as,当我朋友对我很重要。,Dāng wǒ péngyǒu duì wǒ hěn zhòngyào.,It is important for me to treat him as a friend.,2024-09-21,1,0,1,2025-01-01
D000016,锻炼,duan4 lian4,duan4 lian4,Verb,Sports,Common,Exercise,他经常锻炼身体，所以很健康,Tā jīngcháng duànliàn shēntǐ suǒyǐ hěn jiànkāng,He exercises often so he is very healthy,2024-09-21,0,0,0,
D000017,方法,fang1 fa3,fang1 fa3,Noun,Work,Common,Method/Way,我们需要找到一个新的方法解决这个问题。,Wǒmen xūyào zhǎodào yī gè xīn de fāngfǎ jiějué zhège wèntí.,We need to find a new method to solve this problem,2024-09-21,0,0,0,
D000018,非常,fei1 chang2,fei1 chang2,Adjuster,Degree,Common,very (Stronger than hen3),非常喜欢,fei1 chang2 xi3 huan1,really like,2024-09-21,0,0,0,
D000019,否定,fou3 ding4,fou3 ding4,Verb,Action,Common,To Negate To Deny To Reject,他否定了所有的指控,Tā fǒudìng le suǒyǒu de zhǐkòng.,He denied all the accusations.,2024-09-21,0,0,0,
D000022,跟,gen1,gen1,Grammar,Grammar,Common,and/with but used more in the context of connection/interaction (.ie กับ),她跟我一起去商店,Tā gēn wǒ yìqǐ qù shāngdiàn.,She went to the store with me.,2024-09-21,0,0,0,
D000025,还好,hai2 hao3,hai2 hao3,Adjective,Opinion,Common,Not bad,这家餐厅的菜还好，不是特别好吃，但也不差。,Zhè jiā cāntīng de cài hái hǎo bú shì tèbié hǎochī dàn yě bù chà.,The food at this restaurant is not bad; it's not particularly delicious but it's also not bad.,2024-09-21,0,0,0,
D000026,还可以,hai2 ke3 yi3,hai2 ke3 yi3,Adjective,Opinion,Common,Just okay,我的英语说得还可以,Wo3 de ying1 yu3 shuo1 de hai2 ke3 yi3,I speak okay English,2024-09-21,0,0,0,
D000027,和,he2,he2,Grammar,Grammar,Common,and (for connecting items in a list) --> และ,我喜欢猫和狗,Wǒ xǐhuān māo hé gǒu.,I like cats and dogs.,2024-09-21,3,3,0,2024-12-26
D000028,很,hen3,hen3,Adjuster,Degree,Common,very,很好,hen3 hao3,very good,2024-09-21,1,1,0,2025-06-21
D000029,很差,hen3 cha4,hen3 cha4,Adjective,Opinion,Common,Sucks/Very bad,最近的天气很差，总是下雨,Zuìjìn de tiānqì hěn chà zǒngshì xiàyǔ.,The weather has been very bad lately it's always raining,2024-09-21,1,0,1,2025-01-05
D000030,很少,hen3 shao3,hen3 shao3,Adjuster,Frequency,Common,Rarely/Seldom,她很少生气，总是很温和,Tā hěn shǎo shēngqì zǒng shì hěn wēnhé.,She seldom gets angry and is always gentle.,2024-09-21,2,2,0,2025-01-12
D000031,会议,hui4 yi4,hui4 yi4,Noun,Work,Common,Meeting,他会来参加会议。,Tā huì lái cānjiā huìyì.,He will come to attend the meeting.,2024-09-21,0,0,0,
D000032,机场,ji1 chang3,ji1 chang3,Noun,Travel,Common,Airport,我们明天早上六点出发去机场。,Wǒmen míngtiān zǎoshang liù diǎn chūfā qù jīchǎng.,We will leave for the airport at 6 a.m. tomorrow.,2024-09-21,0,0,0,
D000033,计划,ji4 hua4,ji4 hua4,Noun,Work,Common,Plan,我们的暑假计划是去海边度假,Wǒmen de shǔjià jìhuà shì qù hǎibiān dùjià.,Our plan for the summer vacation is to go to the beach.,2024-09-21,0,0,0,
D000034,价格,jia4 ge2,jia4 ge2,Noun,Business,Common,Price,你能告诉我这台电脑的价格吗？,Nǐ néng gàosù wǒ zhè tái diànnǎo de jiàgé ma?,Can you tell me the price of this computer?,2024-09-21,0,0,0,
D000035,解决,jie3 jue2,jie3 jue2,Verb,Work,Common,To solve/To resolve/To settle,她很快就解决了那个难题。,Tā hěn kuài jiù jiějué le nàgè nántí.,She quickly solved that difficult problem.,2024-09-21,1,1,0,2025-01-04
D000037,惊讶,jing1 ya4,jing1 ya4,Adjective,Emotion,Common,Surprised/Astonished,我对他的决定感到很惊讶。,Wǒ duì tā de juédìng gǎndào hěn jīngyà.,I am very surprised by his decision.,2024-09-21,1,1,0,2025-01-04
D000038,可是,ke3 shi4,ke3 shi4,Grammar,Grammar,Common,But (Similar to dan4 shi4 but less strong emphasis on negating the first statement),我很喜欢这本书，可是太贵了。,Wǒ hěn xǐhuān zhè běn shū kěshì tài guì le.,I really like this book but it's too expensive.,2024-09-21,0,0,0,
D000039,肯定,ken3 ding4,ken3 ding4,Noun,General,Common,Sure/Certain,你肯定能完成这个任务,Nǐ kěndìng néng wánchéng zhège rènwù,You will definitely be able to complete this task.,2024-09-21,0,0,0,
D000040,聊天,liao2 tian1,liao2 tian1,Verb,Communication,Common,To chat/To have conversation (Casual),他们每天晚上都在网上聊天,Tāmen měi tiān wǎnshang dōu zài wǎngshàng liáotiān.,They chat online every evening.,2024-09-21,2,0,2,2025-01-12
D000041,哪里,na3 li3,na3 li3,Grammar,Question,Common,Where,xxx 在哪里,xxx zai4 na3 li3,Where is xxx?,2024-09-21,1,1,0,2025-01-26
D000042,那些,na3 xie1,na4 xie1,Grammar,Question,Common,Which (For multiple choices) --> i.e na3 ge plural form,你去了那些地方,ni3 qu4 le na3 xie1 di4 fang1,Which places did you go to?,2024-09-21,0,0,0,
D000043,哪里,na4 li3,na3 li3,Grammar,Question,Common,There,哪里的天气怎么样,na4 li3 de tian1 qi4 zen3 me tang4,How is the weather there?,2024-09-21,2,0,2,2025-01-04
D000044,农场,nong2 chang3,nong2 chang3,Noun,Place,Common,Farm,我暑假打算去爷爷的农场帮忙,Wǒ shǔjià dǎsuàn qù yéye de nóngchǎng bāngmáng.,I plan to go to my grandfather's farm to help during the summer vacation.,2024-09-21,0,0,0,
D000045,暖和,nuan3 huo,nuan3 huo,Adjective,Weather,Common,Warm (Referring to weather),春天的阳光很暖和,Chūntiān de yángguāng hěn nuǎnhuo,The spring sunshine is very warm.,2024-09-21,0,0,0,
D000046,然后,ran2 hou4,ran2 hou4,Grammar,Grammar,Common,Then,我先做完作业，然后去看电影,Wǒ xiān zuò wán zuòyè ránhòu qù kàn diànyǐng,"I will finish my homework first then go to watch a movie.
",2024-09-21,2,2,0,2025-01-26
D000047,任务,ren4 wu4,ren4 wu,Noun,Business,Common,"Task, Mission, Assignment",这次任务非常重要,Zhè cì rènwù fēicháng zhòngyào.,This mission is very important.,2024-09-21,0,0,0,
D000048,什么时候,shen2 me shi2 hou4,shen2 me shi2 hou4,Grammar,Question,Common,When (As question),你什么时候来？,Nǐ shénme shíhou lái?,When are you coming?,2024-09-21,1,0,1,2024-12-21
D000049,收到,shou1 dao4,shou1 dao4,Verb,Action,Common,To receive,我收到了你的邮件。,Wǒ shōudào le nǐ de yóujiàn.,I received your email.,2024-09-21,0,0,0,
D000050,随时,sui2 shi2,sui2 shi2,Adverb,Time,Common,Any Time,如果你需要帮助，可以随时找我。,Rúguǒ nǐ xūyào bāngzhù kěyǐ suíshí zhǎo wǒ.,If you need help you can come to me anytime.,2024-09-21,0,0,0,
D000052,挺,ting3,ting3,Adjuster,Degree,Common,quite,挺好,ting3 hao3,quite good,2024-09-21,0,0,0,
D000053,完成,wan2 cheng2,wan2 cheng2,Verb,Action,Common,To finish To complete,我已经完成了作业,Wǒ yǐjīng wánchéng le zuòyè.,I have already finished my homework,2024-09-21,1,1,0,2024-12-21
D000054,往前,wang3 qian2,wang3 qian2,Adjective,Direction,Common,Go forward,往前走,wang3 qian2 zou3,,2024-09-21,2,1,1,2025-06-21
D000055,网上,wang3 shang4,wang3 shang4,Noun,Technology,Common,Internet,他们每天晚上都在网上聊天,Tāmen měi tiān wǎnshang dōu zài wǎngshàng liáotiān.,They chat online every evening.,2024-09-21,1,0,1,2025-01-12
D000056,温和,wen1 he2,wen1 he2,Adjective,Character,Common,Gentle,她很少生气，总是很温和,Tā hěn shǎo shēngqì zǒng shì hěn wēnhé.,She seldom gets angry and is always gentle.,2024-09-21,0,0,0,
D000057,温暖,wen1 nuan3,wen1 nuan3,Adjective,Character,Common,Warm (Referring to personality),她有一个温暖的性格，总是关心别人,Tā yǒu yī gè wēnnuǎn de xìnggé zǒng shì guānxīn biérén.,She has a warm personality and always cares about others.,2024-09-21,0,0,0,
D000059,项目,xiang4 mu4,xiang4 mu4,Noun,Business,Common,Project,我们的项目刚开始,Wǒmen de xiàngmù gāng kāishǐ,Our project has just started.,2024-09-21,1,0,1,2024-12-21
D000060,消息,xiao1 xi1,xiao1 xi1,Noun,News,Common,News,我刚刚收到一个好消息。,Wǒ gānggāng shōudào yī gè hǎo xiāoxī.,I just received good news.,2024-09-21,2,2,0,2025-01-29
D000061,需要,xu1 yao4,xu1 yao4,Verb,General,Common,Need (As opposed to 要 which is just want),你需要帮助吗？,Nǐ xūyào bāngzhù ma?,Do you need help?,2024-09-21,1,1,0,2024-12-21
D000062,钥匙,yao4 shi2,yao4 shi,Noun,Object,Common,Key,他总是忘记带钥匙,Tā zǒngshì wàngjì dài yàoshi.,He always forgets to bring his keys.,2024-09-21,0,0,0,
D000063,已经,yi3 jing1,yi3 jing1,Adverb,Time,Common,Already,我已经吃过晚饭了,Wǒ yǐjīng chī guò wǎnfàn le.,I have already had dinner,2024-09-21,2,2,0,2025-06-21
D000064,应该,ying1 gai1,ying1 gai1,Adverb,Opinion,Common,Should,你应该早点休息,Nǐ yīnggāi zǎodiǎn xiūxi.,You should rest earlier.,2024-09-21,0,0,0,
D000065,勇气,yǒngqì,yong3 qi4,Noun,Emotion,Common,Courage,他终于鼓起勇气向她表白了。,Tā zhōngyú gǔqǐ yǒngqì xiàng tā biǎobái le.,He finally summoned the courage to confess to her.,2024-09-21,1,1,0,2025-06-21
D000066,友好,you2 hao3,you3 hao3,Adjective,Character,Common,Friendly,他们很友好,ta1 men2 hen3 you2 hao3,They are very friendly,2024-09-21,0,0,0,
D000067,邮件,you2 jian4,you2 jian4,Noun,Technology,Common,Email,我收到了你的邮件。,Wǒ shōudào le nǐ de yóujiàn.,I received your email.,2024-09-21,1,1,0,2025-01-12
D000068,找,zhao3,zhao3,Noun,Action,Common,To find,我在找我的手机,Wǒ zài zhǎo wǒ de shǒujī.,I am looking for my phone.,2024-09-21,0,0,0,
D000069,找到,zhao3 dao4,zhao3 dao4,Verb,Action,Common,To have found,,Wǒ zhōngyú zhǎodào wǒ de yàoshi le.,I finally found my keys.,2024-09-21,0,0,0,
D000070,这里,zhe4 li3,zhe4 li3,Grammar,Question,Common,Here,你可以把书放在这里。,Nǐ kěyǐ bǎ shū fàng zài zhèlǐ.,You can put the book here.,2024-09-21,0,0,0,
D000071,终于,zhong1 yu2,zhong1 yu2,Adverb,Time,Common,Finally,我们等了很久，飞机终于来了。,Wǒmen děng le hěn jiǔ fēijī zhōngyú lái le.,We waited for a long time and finally the plane arrived.,2024-09-21,1,0,1,2025-01-12
D000072,总是,zong3 shi4,zong3 shi4,Adjuster,Frequency,Common,Always,他总是忘记带钥匙,Tā zǒngshì wàngjì dài yàoshi.,He always forgets to bring his keys.,2024-09-21,1,1,0,2024-12-22
D000073,最近,zui4 jin4,zui4 jin4,Adjective,Time,Common,Recently,最近的天气很差，总是下雨,Zuìjìn de tiānqì hěn chà zǒngshì xiàyǔ.,The weather has been very bad lately it's always raining,2024-09-21,1,1,0,2025-01-29
D000074,安排,ān pái,an1 pai2,Verb,Work,Common,To arrange; to organize or plan something.,我们需要安排一下明天的会议。,Wǒmen xūyào ānpái yīxià míngtiān de huìyì.,We need to arrange tomorrow's meeting.,2024-09-22,1,1,0,2024-12-21
D000075,并,bìng,bing4,Verb,Action,Common,To combine or join together,我们可以并一起工作。,Wǒmen kěyǐ bìng yīqǐ gōngzuò.,We can work together and combine our efforts.,2024-09-22,0,0,0,
D000076,并,bìng,bing4,Conjunction,General,Common,And / also,他并不喜欢吃水果。,Tā bìng bù xǐhuān chī shuǐguǒ.,He does not like to eat fruit either.,2024-09-22,1,0,1,2025-01-01
D000077,答案,dá'àn,da2 an4,Noun,Work,Common,Answer; solution to a question,这个问题的答案很简单。,Zhège wèntí de dá'àn hěn jiǎndān.,The answer to this question is very simple.,2024-09-22,1,0,1,2025-01-04
D000078,敌人,dí rén,di2 ren2,Noun,Relationship,Common,Enemy; opponent; adversary,战争中的敌人是不可小觑的。,Zhànzhēng zhōng de dírén shì bùkě xiǎoqù de.,The enemy in war should not be underestimated.,2024-09-22,0,0,0,
D000081,而且,érqiě,er2 qie3,Conjunction,Grammar,Common,"Moreover; and (used to connect two clauses, indicating an addition)",他不仅聪明，而且勤奋。,"Tā bù jǐn cōngmíng, érqiě qínfèn.","He is not only smart, but also hardworking.",2024-09-22,0,0,0,
D000082,感到,gǎn dào,gan3 dao4,Verb,Emotion,Common,To feel; to sense; to perceive,我感到很快乐。,Wǒ gǎndào hěn kuàilè.,I feel very happy.,2024-09-22,1,1,0,2025-01-04
D000083,搞,gǎo,gao3,Verb,Work,Common,"To do, to make, to engage in",他正在搞一个新项目。,Tā zhèngzài gǎo yīgè xīn xiàngmù.,He is working on a new project.,2024-09-22,1,0,1,2024-12-29
D000084,关系,guānxì,guan1 xi4,Noun,Relatives,Common,Relationship; connection between people or things,他们之间有很好的关系。,Tāmen zhījiān yǒu hěn hǎo de guānxì.,There is a good relationship between them.,2024-09-22,0,0,0,
D000085,关系,guānxì,guan1 xi4,Verb,Relatives,Common,To relate; to concern,这个问题与我们的项目有关系。,Zhège wèntí yǔ wǒmen de xiàngmù yǒu guānxì.,This issue relates to our project.,2024-09-22,0,0,0,
D000087,建议,jiànyì,jian4 yi4,Verb,Work,Common,"To suggest, to propose",我建议我们早点出发。,Wǒ jiànyì wǒmen zǎodiǎn chūfā.,I suggest we leave earlier.,2024-09-22,1,0,1,2025-01-04
D000088,建议,jiànyì,jian4 yi4,Noun,Work,Common,Suggestion or proposal,他的建议很有帮助。,Tā de jiànyì hěn yǒu bāngzhù.,His suggestion is very helpful.,2024-09-22,0,0,0,
D000090,决定,jué dìng,jue2 ding4,Verb,Action,Common,To decide; to determine,我们需要尽快做出决定。,Wǒmen xūyào jǐnkuài zuòchū juédìng.,We need to make a decision as soon as possible.,2024-09-22,1,1,0,2025-01-12
D000091,考虑,kǎo lǜ,kao3 lv4,Verb,Work,Common,To consider; to think about something carefully before making a decision.,我需要考虑一下你的建议。,Wǒ xūyào kǎolǜ yīxià nǐ de jiànyì.,I need to consider your suggestion for a moment.,2024-09-22,2,2,0,2025-01-29
D000092,困惑,kùn huò,kun4 huo4,Noun,Emotion,Common,Confusion; puzzlement; a state of being bewildered,我对这个问题感到困惑。,Wǒ duì zhège wèntí gǎndào kùn huò.,I feel confused about this issue.,2024-09-22,1,0,1,2025-01-12
D000093,其实,qí shí,qi2 shi2,Adverb,Grammar,Common,Actually; used to express a contrast with previous statements.,其实我并不喜欢这个电影。,Qíshí wǒ bìng bù xǐhuān zhège diànyǐng.,"Actually, I don't like this movie.",2024-09-22,0,0,0,
D000094,勤奋,qínfèn,qin2 fen4,Adjective,Character,Common,Diligent; hardworking and industrious,她是一个非常勤奋的学生。,Tā shì yīgè fēicháng qínfèn de xuéshēng.,She is a very diligent student.,2024-09-22,0,0,0,
D000096,太太,tàitài,tai4 tai,Noun,Relatives,Common,Mrs.; a term of respect for a married woman,她是我的太太。,Tā shì wǒ de tàitài.,She is my wife.,2024-09-22,0,0,0,
D000097,讨论,tǎolùn,tao3 lun4,Verb,Work,Common,To discuss,我们需要讨论这个问题。,Wǒmen xūyào tǎolùn zhège wèntí.,We need to discuss this issue.,2024-09-22,0,0,0,
D000098,同事,tóngshì,tong2 shi4,Noun,Business,Common,Colleague; a person who works with you,我的同事非常友好。,Wǒ de tóngshì fēicháng yǒuhǎo.,My colleague is very friendly.,2024-09-22,0,0,0,
D000099,威胁,wēixié,wei1 xie2,Noun,Business,Common,Threat,他们面临着来自竞争对手的威胁。,Tāmen miànlín zhe láizì jìngzhēng duìshǒu de wēixié.,They are facing threats from competitors.,2024-09-22,1,0,1,2024-12-21
D000100,误会,wù huì,wu4 hui4,Noun,Work,Common,Misunderstanding; misinterpretation,这只是一个误会。,Zhè zhǐ shì yīgè wùhuì.,This is just a misunderstanding.,2024-09-22,2,0,2,2024-12-22
D000103,主意,zhǔ yì,zhu3 yi4,Noun,Work,Common,Idea; a thought or suggestion about a possible course of action.,你有什么好的主意吗？,Nǐ yǒu shénme hǎo de zhǔyì ma?,Do you have any good ideas?,2024-09-22,1,1,0,2024-12-29
D000105,导游,dǎoyóu,dao3 you2,Noun,Travel,Common,Tour guide,导游为我们介绍了这座城市的历史。,Dǎoyóu wèi wǒmen jièshào le zhè zuò chéngshì de lìshǐ.,The tour guide introduced us to the history of this city.,2024-09-23,0,0,0,
D000106,对手,duìshǒu,dui4 shou3,Noun,Business,Common,Opponent; rival,他是我在比赛中的对手。,Tā shì wǒ zài bǐsài zhōng de duìshǒu.,He is my opponent in the competition.,2024-09-23,1,1,0,2024-12-22
D000107,飞机,fēijī,fei1 ji1,Noun,Travel,Common,Airplane,我们在机场等着登上飞机。,Wǒmen zài jīchǎng děngzhe dēng shàng fēijī.,We are waiting at the airport to board the airplane.,2024-09-23,0,0,0,
D000109,火车站,huǒchēzhàn,huo3 che1 zhan4,Noun,Commute,Common,Train station,火车站总是很忙。,Huǒchēzhàn zǒng shì hěn máng.,The train station is always busy.,2024-09-23,0,0,0,
D000110,护照,hùzhào,hu4 zhao4,Noun,Travel,Common,Passport,旅行时，别忘了带上护照。,"Lǚxíng shí, bié wàngle dài shàng hùzhào.",Don’t forget to bring your passport when traveling.,2024-09-23,1,1,0,2025-01-04
D000111,竞争,jìngzhēng,jing4 zheng1,Noun,Business,Common,Competition,在商业中，竞争是不可避免的。,"Zài shāngyè zhōng, jìngzhēng shì bùkě bìmiǎn de.",Competition is inevitable in business.,2024-09-23,0,0,0,
D000112,酒店,jiǔdiàn,jiu3 dian4,Noun,Travel,Common,Hotel,这家酒店的位置非常好。,Zhè jiā jiǔdiàn de wèizhì fēicháng hǎo.,The location of this hotel is very good.,2024-09-23,0,0,0,
D000113,旅行社,lǚxíngshè,lv3 xing2 she4,Noun,Travel,Common,Travel agency,我们通过旅行社安排了这次旅行。,Wǒmen tōngguò lǚxíngshè ānpái le zhè cì lǚxíng.,We arranged this trip through a travel agency.,2024-09-23,0,0,0,
D000114,旅游,lǚyóu,lv3 you2,Verb/Noun,Travel,Common,Travel,我们计划下个月去旅游。,Wǒmen jìhuà xià gè yuè qù lǚyóu.,We plan to travel next month.,2024-09-23,1,1,0,2025-01-11
D000115,面临,miànlín,mian4 lin2,Verb,Work,Common,To face; to confront,我们面临许多挑战。,Wǒmen miànlín xǔduō tiǎozhàn.,We face many challenges.,2024-09-23,1,0,1,2025-06-21
D000116,签证,qiānzhèng,qian1 zheng4,Noun,Travel,Common,Visa,我正在申请一个去欧洲的签证。,Wǒ zhèngzài shēnqǐng yīgè qù Ōuzhōu de qiānzhèng.,I am applying for a visa to Europe.,2024-09-23,0,0,0,
D000117,行李,xínglǐ,xing2 li3,Noun,Travel,Common,Luggage,我打算把我的行李放在酒店。,Wǒ dǎsuàn bǎ wǒ de xínglǐ fàng zài jiǔdiàn.,I plan to put my luggage in the hotel.,2024-09-23,1,1,0,2025-01-04
D000119,原因,yuányīn,yuan2 yin1,Noun,Work,Common,Reason; cause,你知道这个问题的原因吗？,Nǐ zhīdào zhège wèntí de yuányīn ma?,Do you know the reason for this problem?,2024-09-23,0,0,0,
D000120,预订,yùdìng,yu4 ding4,Verb,Travel,Common,Book (reservation),我已经预订了酒店房间。,Wǒ yǐjīng yùdìngle jiǔdiàn fángjiān.,I have booked a hotel room.,2024-09-23,0,0,0,
D000121,正在,zhèngzài,zheng4 zai4,Adverb,Time,Common,In the process of; currently,她正在学习中文。,Tā zhèngzài xuéxí zhōngwén.,She is currently studying Chinese.,2024-09-23,2,0,2,2025-06-21
D000122,被,bèi,bei4,Preposition,Grammar,Common,"Indicates the passive voice in a sentence, often translated as ""by""",我被老师批评了。,Wǒ bèi lǎoshī pīpíng le.,I was criticized by the teacher.,2024-09-27,1,0,1,2024-12-22
D000123,被,bèi,bei4,Verb,Action,Common,To cover or to be covered,被子被我盖得严严实实。,Bèizi bèi wǒ gài dé yán yán shí shí.,The quilt is tightly covered by me.,2024-09-27,3,0,3,2025-01-05
D000124,办法,bànfǎ,ban4 fa3,Noun,Work,Common,Method/solution,我们需要想一个办法解决这个问题。,Wǒmen xūyào xiǎng yīgè bànfǎ jiějué zhège wèntí.,We need to think of a method to solve this problem.,2024-10-01,1,0,1,2025-01-26
D000125,放心,fàngxīn,fang4 xin1,Verb,Emotion,Common,To be at ease,你可以放心，我会照顾好一切。,"Nǐ kěyǐ fàngxīn, wǒ huì zhàogù hǎo yīqiè.","You can rest assured, I will take good care of everything.",2024-10-01,1,0,1,2025-06-21
D000127,表达,biao3 da2,biao3 da2,Verb,Emotion,Common,To express,她能很好地表达自己的想法。,Tā néng hěn hǎo de biǎodá zìjǐ de xiǎngfǎ.,She can express her thoughts very well.,2024-10-02,0,0,0,
D000128,才,cái,cai2,Adverb,Time,Common,"Only, just",我才吃了午饭。,Wǒ cái chīle wǔfàn.,I just had lunch.,2024-10-02,0,0,0,
D000129,菜单,càidān,cai4 dan1,Noun,Object,Common,Menu,请给我一份菜单。,Qǐng gěi wǒ yī fèn càidān.,Please give me a menu.,2024-10-02,0,0,0,
D000130,超市,chāo shì,chao1 shi4,Noun,General,Common,Supermarket,我们去超市买一些水果和蔬菜。,Wǒmen qù chāoshì mǎi yīxiē shuǐguǒ hé shūcài.,We are going to the supermarket to buy some fruits and vegetables.,2024-10-02,2,2,0,2025-01-26
D000131,抽空,chōu kòng,chou1 kong4,Verb,Relationship,Common,To find time,我会抽空去参加你的聚会。,Wǒ huì chōukòng qù cānjiā nǐ de jùhuì.,I will find time to attend your party.,2024-10-02,0,0,0,
D000132,带,dài,dai4,Verb,Action,Common,Bring,请你带上你的护照。,Qǐng nǐ dài shàng nǐ de hùzhào.,Please bring your passport.,2024-10-02,1,1,0,2024-12-21
D000133,带,dài,dai4,Verb,Action,Common,Lead,他带我参观了这座城市。,Tā dài wǒ cānguānle zhè zuò chéngshì.,He led me on a tour of the city.,2024-10-02,0,0,0,
D000134,多久,duō jiǔ,duo1 jiu3,Question,Time,Common,How long,你要等多久？,Nǐ yào děng duōjiǔ?,How long do you have to wait?,2024-10-02,0,0,0,
D000136,复习,fù xí,fu4 xi2,Verb,Education,Common,To review,我每天复习功课。,Wǒ měitiān fùxí gōngkè.,I review my lessons every day.,2024-10-02,1,0,1,2025-08-03
D000137,根据,gēnjù,gen1 ju4,Preposition,Grammar,Common,According to,根据天气预报，明天会下雨。,"Gēnjù tiānqì yùbào, míngtiān huì xià yǔ.","According to the weather forecast, it will rain tomorrow.",2024-10-02,0,0,0,
D000138,公共假期,gōng gòng jià qī,gong1 gong4 jia4 qi1,Noun,Holidays,Common,Public holiday,这个公共假期我们打算去旅行。,Zhège gōnggòng jiàqī wǒmen dǎsuàn qù lǚxíng.,We plan to travel during this public holiday.,2024-10-02,0,0,0,
D000140,柜台,guìtái,gui4 tai2,Noun,Object,Common,Counter,我在柜台等你。,Wǒ zài guìtái děng nǐ.,I will wait for you at the counter.,2024-10-02,0,0,0,
D000142,会,huì,hui4,Verb,General,Common,Can/Will,我会去参加这个会议。,Wǒ huì qù cānjiā zhège huìyì.,I will attend this meeting.,2024-10-02,2,1,1,2024-12-24
D000143,悔意,huǐ yì,hui3 yi4,Noun,Emotion,Rare,Remorse,他对自己的错误感到悔意。,Tā duì zìjǐ de cuòwù gǎndào huǐyì.,He feels remorse for his mistakes.,2024-10-02,0,0,0,
D000144,见面,jiàn miàn,jian4 mian4,Verb,Relationship,Common,To meet,我们下周见面吧。,Wǒmen xià zhōu jiànmiàn ba.,Let's meet next week.,2024-10-02,1,1,0,2025-01-04
D000145,简单,jiǎndān,jian3 dan1,Adjective,Description,Common,Simple,这个问题很简单。,Zhège wèntí hěn jiǎndān.,This problem is very simple.,2024-10-02,1,1,0,2025-01-01
D000146,角度,jiǎo dù,jiao3 du4,Noun,General,Common,Angle,从这个角度看问题更清晰。,Cóng zhège jiǎodù kàn wèntí gèng qīngxī.,Looking at the problem from this angle is clearer.,2024-10-02,3,2,1,2025-01-04
