Word,Pinyin,Type,Meaning,Sentence,Sentence Pinyin,Sentence Meaning,Word Type
这里,zhe4 li3,Grammar,Here,你可以把书放在这里。,Nǐ kěyǐ bǎ shū fàng zài zhèlǐ.,You can put the book here.,
什么时候,shen2 me shi2 hou4,Grammar,When (As question),你什么时候来？,Nǐ shénme shíhou lái?,When are you coming?,
和,he2,Grammar,and (for connecting items in a list) --> และ,我喜欢猫和狗,Wǒ xǐhuān māo hé gǒu.,I like cats and dogs.,
还,hai2,Grammar,and (for connecting phrases),他会说英语，还会说中文。,Tā huì shuō Yīngyǔ hái huì shuō Zhōngwén,He can speak English and also can speak Mandarin,
跟,gen1,Grammar,and/with but used more in the context of connection/interaction (.ie กับ),她跟我一起去商店,Tā gēn wǒ yìqǐ qù shāngdiàn.,She went to the store with me.,
不仅,bu4 jin3,Grammar,Not only ....,他不仅喜欢音乐，还喜欢运动,Tā bùjǐn xǐhuān yīnyuè hái xǐhuān yùndòng.,He not only likes music but also likes sports.,
然后,ran2 hou4,Grammar,Then,我先做完作业，然后去看电影,Wǒ xiān zuò wán zuòyè ránhòu qù kàn diànyǐng,"I will finish my homework first then go to watch a movie.
",
但是,dan4 shi4,Grammar,But,我想去旅游，但是没有时间。,Wǒ xiǎng qù lǚyóu dànshì méiyǒu shíjiān.,I want to travel but I don't have time.,
可是,ke3 shi4,Grammar,But (Similar to dan4 shi4 but less strong emphasis on negating the first statement),我很喜欢这本书，可是太贵了。,Wǒ hěn xǐhuān zhè běn shū kěshì tài guì le.,I really like this book but it's too expensive.,
不过,bu2 guo4,Grammar,But (Similar to dan4 shi4 but less formal),我喜欢这家餐厅，不过价格有点贵。,Wǒ xǐhuān zhè jiā cāntīng búguò jiàgé yǒudiǎn guì.,I like this restaurant but the price is a bit high.,
当,dāng,Verb,To be; to serve as,他想当一名老师。,Tā xiǎng dāng yī míng lǎoshī.,He wants to be a teacher.,
当,dāng,Verb,To act as; to treat as,当我朋友对我很重要。,Dāng wǒ péngyǒu duì wǒ hěn zhòngyào.,It is important for me to treat him as a friend.,
其实,qí shí,Adverb,"Actually, in fact",其实我并不喜欢这部电影。,Qíshí wǒ bìng bù xǐhuān zhè bù diànyǐng.,"Actually, I don't like this movie.",
主意,zhǔ yì,Noun,"Idea, opinion",你有什么好主意吗？,Nǐ yǒu shénme hǎo zhǔyì ma?,Do you have any good ideas?,
主意,zhǔ yì,Noun,Suggestion,我们可以考虑你的主意。,Wǒmen kěyǐ kǎolǜ nǐ de zhǔyì.,We can consider your suggestion.,
考虑,kǎo lǜ,Verb,To consider,我会认真考虑你的建议。,Wǒ huì rènzhēn kǎolǜ nǐ de jiànyì.,I will seriously consider your suggestion.,
对,duì,Preposition,"Correct, towards",你的答案对我来说很重要。,Nǐ de dá'àn duì wǒ lái shuō hěn zhòngyào.,Your answer is very important to me.,
对,duì,Preposition,"To treat, to face",我对这件事感到很困惑。,Wǒ duì zhè jiàn shì gǎndào hěn kùnhuò.,I feel very confused about this matter.,
